Gen 1-2, Matt 1
Job 19-20, Acts 9:23-43
Job 21-22, Acts 10:1-23
Job 23-25, Acts 10:24-48
Job 26-28, Acts 11
Job 29-30, Acts 12
Job 31-32, Acts 13:1-23
Job 33-34, Acts 13:24-52
Job 35-37, Acts 14
Job 38-39, Acts 15:1-21
Job 40-42, Acts 15:22-41
Ps 1-3, Acts 16:1-15
Ps 4-6, Acts 16:16-40
Ps 7-9, Acts 17:1-15
Ps 10-12, Acts 17:16-34
Ps 13-16, Acts 18
Ps 17-18, Acts 19:1-20
Ps 19-21, Acts 19:21-41
Ps 22-24, Acts 20:1-16
Ps 25-27, Acts 20:17-38
Ps 28-30, Acts 21:1-14
Ps 31-33, Acts 21:15-40
Ps 34-35, Acts 22
Ps 36-37, Acts 23:1-11
Ps 38-40, Acts 23:12-35
Ps 41-43, Acts 24
Ps 44-46, Acts 25
Ps 47-49, Acts 26
Ps 50-52, Acts 27:1-25
Ps 53-55, Acts 27:26-44
Ps 56-58, Acts 28:1-15
Ps 59-61, Acts 28:16-31
Ps 62-64, Rom 1
Ps 65-67, Rom 2
Ps 68-69, Rom 3
Ps 70-72, Rom 4
Ps 73-74, Rom 5
Ps 75-77, Rom 6
Ps 78, Rom 7
Ps 79-81, Rom 8:1-18
Ps 82-84, Rom 8:19-39
Ps 85-87, Rom 9
Ps 88-89, Rom 10
Ps 90-92, Rom 11:1-21
Ps 93-95, Rom 11:22-36
Ps 96-98, Rom 12
Ps 99-102, Rom 13
Ps 103-104, Rom 14
Ps 105-106, Rom 15:1-20
Ps 107-108, Rom 15:21-33
Ps 109-111, Rom 16
Ps 112-115, 1 Cor 1
Ps 116-118, 1 Cor 2
Ps 119:1-48, 1 Cor 3
Ps 119:49-104, 1 Cor 4
Ps 119:105-176, 1 Cor 5
Ps 120-123, 1 Cor 6
Ps 124-127, 1 Cor 7:1-24
Ps 128-131, 1 Cor 7:25-40
Ps 132-135, 1 Cor 8
Ps 136-138, 1 Cor 9
Ps 139-141, 1 Cor 10:1-13
Ps 142-144, 1 Cor 10:14-33
Ps 145-147, 1 Cor 11:1-15
Ps 148-150, 1 Cor 11:16-34
Prov 1-2, 1 Cor 12
Prov 3-4, 1 Cor 13
Prov 5-6, 1 Cor 14:1-20
Prov 7-8, 1 Cor 14:21-40
Prov 9-10, 1 Cor 15:1-32
Prov 11-12, 1 Cor 15:33-58
Prov 13-14, 1 Cor 16
Prov 15-16, 2 Cor 1
Prov 17-18, 2 Cor 2
Prov 19-20, 2 Cor 3
Prov 21-22, 2 Cor 4
Prov 23-24, 2 Cor 5
Prov 25-27, 2 Cor 6
Prov 28-29, 2 Cor 7
Prov 30-31, 2 Cor 8
Eccl 1-3, 2 Cor 9
Eccl 4-6, 2 Cor 10
Eccl 7-9, 2 Cor 11:1-15
Eccl 10-12, 2 Cor 11:16-33
Sng 1-3, 2 Cor 12
Sng 4-5, 2 Cor 13
Sng 6-8, Gal 1
Isa 1-3, Gal 2
Isa 4-6, Gal 3
Isa 7-9, Gal 4
Isa 10-12, Gal 5
Isa 13-15, Gal 6
Isa 16-18, Eph 1
Isa 19-21, Eph 2
Isa 22-23, Eph 3
Isa 24-26, Eph 4
Isa 27-28, Eph 5
Isa 29-30, Eph 6
Isa 31-33, Phil 1
Isa 34-36, Phil 2
Isa 37-38, Phil 3
Isa 39-40, Phil 4
Isa 41-42, Col 1
Isa 43-44, Col 2
Isa 45-47, Col 3
Isa 48-49, Col 4
Isa 50-52, 1 Thess 1
Isa 53-55, 1 Thess 2
Isa 56-58, 1 Thess 3
Isa 59-61, 1 Thess 4
Isa 62-64, 1 Thess 5
Isa 65-66, 2 Thess 1
Jer 1-2, 2 Thess 2
Jer 3-4, 2 Thess 3
Jer 5-6, 1 Tim 1
Jer 7-8, 1 Tim 2
Jer 9-10, 1 Tim 3
Jer 11-13, 1 Tim 4
Jer 14-16, 1 Tim 5
Jer 17-19, 1 Tim 6
Jer 20-22, 2 Tim 1
Jer 23-24, 2 Tim 2
Jer 25-26, 2 Tim 3
Jer 27-28, 2 Tim 4
Jer 29-30, Titus 1
Jer 31-32, Titus 2
Jer 33-35, Titus 3
Jer 36-37, Phm 1
Jer 38-39, Heb 1
Jer 40-42, Heb 2
Jer 43-45, Heb 3
Jer 46-48, Heb 4
Jer 49-50, Heb 5
Jer 51-52, Heb 6
Lam 1-2, Heb 7
Lam 3-5, Heb 8
Ezek 1-3, Heb 9
Ezek 4-6, Heb 10:1-23
Ezek 7-9, Heb 10:24-39
Ezek 10-12, Heb 11:1-19
Ezek 13-15, Heb 11:20-40
Ezek 16, Heb 12
Ezek 17-19, Heb 13
Ezek 20-21, Jas 1
Ezek 22-23, Jas 2
Ezek 24-26, Jas 3
Ezek 27-28, Jas 4
Ezek 29-31, Jas 5
Ezek 32-33, 1 Pet 1
Ezek 34-35, 1 Pet 2
Ezek 36-37, 1 Pet 3
Ezek 38-39, 1 Pet 4
Ezek 40, 1 Pet 5
Ezek 41-42, 2 Pet 1
Ezek 43-44, 2 Pet 2
Ezek 45-46, 2 Pet 3
Ezek 47-48, 1 John 1
Dan 1-2, 1 John 2
Dan 3-4, 1 John 3
Dan 5-6, 1 John 4
Dan 7-8, 1 John 5
Dan 9-10, 2 John 1
Dan 11-12, 3 John 1
Hos 1-4, Jude 1
Hos 5-8, Rev 1
Hos 9-11, Rev 2
Hos 12-14, Rev 3
Joel 1-3, Rev 4
Amos 1-3, Rev 5
Amos 4-6, Rev 6
Amos 7-9, Rev 7
Obad 1, Rev 8
Jonah 1-4, Rev 9
Mic 1-3, Rev 10
Mic 4-5, Rev 11
Mic 6-7, Rev 12
Nahum 1-3, Rev 13
Hab 1-3, Rev 14
Zeph 1-3, Rev 15
Hag 1-2, Rev 16
Zech 1-3, Rev 17
Zech 4-6, Rev 18
Zech 7-9, Rev 19
Zech 10-12, Rev 20
Zech 13-14, Rev 21
Mal 1-4, Rev 22
