Acts 27,Ruth 2
Acts 28,Ruth 3-4
Romans 1,1 Samuel 1
Romans 2,1 Samuel 2
Romans 3,1 Samuel 3
Romans 4,1 Samuel 4
Romans 5,1 Samuel 5-6
Romans 6,1 Samuel 7-8
Romans 7,1 Samuel 9
Romans 8,1 Samuel 10
Romans 9,1 Samuel 11
Romans 10,1 Samuel 12
Romans 11,1 Samuel 13
Romans 12,1 Samuel 14
Romans 13,1 Samuel 15
Romans 14,1 Samuel 16
Romans 15,1 Samuel 17
Romans 16,1 Samuel 18
1 Corinthians 1,1 Samuel 19
1 Corinthians 2,1 Samuel 20
1 Corinthians 3,1 Samuel 21-22
1 Corinthians 4,1 Samuel 23
1 Corinthians 5,1 Samuel 24
1 Corinthians 6,1 Samuel 25
1 Corinthians 7,1 Samuel 26
1 Corinthians 8,1 Samuel 27
1 Corinthians 9,1 Samuel 28
1 Corinthians 10  ,1 Samuel 29-30
1 Corinthians 11,1 Samuel 31
1 Corinthians 12,2 Samuel 1
1 Corinthians 13,2 Samuel 2
1 Corinthians 14,2 Samuel 3
1 Corinthians 15,2 Samuel 4-5
1 Corinthians 16,2 Samuel 6
2 Corinthians 1,2 Samuel 7
2 Corinthians 2,2 Samuel 8-9
2 Corinthians 3,2 Samuel 10
2 Corinthians 4,2 Samuel 11
2 Corinthians 5,2 Samuel 12
2 Corinthians 6,2 Samuel 13
2 Corinthians 7,2 Samuel 14
2 Corinthians 8,2 Samuel 15
2 Corinthians 9,2 Samuel 16
2 Corinthians 10,2 Samuel 17
2 Corinthians 11,2 Samuel 18
2 Corinthians 12,2 Samuel 19
2 Corinthians 13,2 Samuel 20
Galatians 1,2 Samuel 21
Galatians 2,2 Samuel 22
Galatians 3,2 Samuel 23
Galatians 4,2 Samuel 24
Galatians 5,1 Kings 1
Galatians 6,1 Kings 2
Ephesians 1,1 Kings 3
Ephesians 2,1 Kings 4-5
Ephesians 3,1 Kings 6
Ephesians 4,1 Kings 7
Ephesians 5,1 Kings 8
Ephesians 6,1 Kings 9
Philippians 1,1 Kings 10
Philippians 2,1 Kings 11
Philippians 3,1 Kings 12
Philippians 4,1 Kings 13
Colossians 1,1 Kings 14
Colossians 2,1 Kings 15
Colossians 3,1 Kings 16
Colossians 4,1 Kings 17
1 Thessalonians 1      ,1 Kings 18
1 Thessalonians 2,1 Kings 19
1 Thessalonians 3,1 Kings 20
1 Thessalonians 4,1 Kings 21
1 Thessalonians 5,1 Kings 22
2 Thessalonians 1,2 Kings 1
2 Thessalonians 2,2 Kings 2
2 Thessalonians 3,2 Kings 3
1 Timothy 1,2 Kings 4
1 Timothy 2,2 Kings 5
1 Timothy 3,2 Kings 6
1 Timothy 4,2 Kings 7
1 Timothy 5,2 Kings 8
1 Timothy 6,2 Kings 9
2 Timothy 1,2 Kings 10
2 Timothy 2,2 Kings 11-12
2 Timothy 3,2 Kings 13
2 Timothy 4,2 Kings 14
Titus 1,2 Kings 15
Titus 2,2 Kings 16
Titus 3,2 Kings 17
Philemon,2 Kings 18
Hebrews 1,2 Kings 19
Hebrews 2,2 Kings 20
Hebrews 3,2 Kings 21
Hebrews 4,2 Kings 22
Hebrews 5,2 Kings 23
Hebrews 6,2 Kings 24
Hebrews 7,2 Kings 25
Hebrews 8,1 Chronicles 1-2
Hebrews 9,1 Chronicles 3-4
Hebrews 10   ,1 Chronicles 5-6
Hebrews 11,1 Chronicles 7-8
Hebrews 12,1 Chronicles 9-10
Hebrews 13,1 Chronicles 11-12
James 1,1 Chronicles 13-14
James 2,1 Chronicles 15
James 3,1 Chronicles 16
James 4,1 Chronicles 17
James 5,1 Chronicles 18
1 Peter 1,1 Chronicles 19-20
1 Peter 2,1 Chronicles 21
1 Peter 3,1 Chronicles 22
1 Peter 4,1 Chronicles 23
1 Peter 5,1 Chronicles 24-25
2 Peter 1,1 Chronicles 26-27
2 Peter 2,1 Chronicles 28
2 Peter 3,1 Chronicles 29
1 John 1,2 Chronicles 1
1 John 2,2 Chronicles 2
1 John 3,2 Chronicles 3-4
1 John 4,2 Chronicles 5:1-6:11
1 John 5,2 Chronicles 6:12-42
2 John,2 Chronicles 7
3 John,2 Chronicles 8
Jude,2 Chronicles 9
